"","Q1.2","Q1.4","Q1.5","Q1.12","Q1.14.1","Q1.14.2","Q1.14.3","Q1.14.4","Q1.14.5","Q1.14.6","Q3.3","Q3.5.2","Q3.6.1","Q3.6.2","Q3.7","Q3.8.1c1","Q3.8.1c2","Q3.12","Q3.14","Q3.21.1","Q3.21.2","Q3.21.3","Q5.1","Q5.2","Q5.3.1","Q5.4","Q6.1.1","Q6.1.2","Q6.1.3","Q6.1.4","Q6.1.5","Q6.2.1","Q6.2.2","Q6.2.5","Q6.3","Q6.7","Q7.5","Q7.6"
"255",1,22,7,2,2,4,2,5,5,4,1,1,42,3.4,500,485,0,4,0,3,3,3,24.9166333333333,1,31,4,2,2,1,3,3,3,1,4,6,4,3,6
"256",1,23,4,2,3,2,5,3,3,5,1,1,5,1,1000,625,300,3,0,4,3,3,24.1666333333333,2,189,1,5,5,3,3,4,4,3,4,2,2,5,3
"257",2,4,4,1,5,5,4,5,5,5,1,3,40,21,1000,1320,0,5,15,3,3,3,34.0833,1,31,3,5,3,5,5,5,1,1,4,6,6,6,6
"258",1,18,7,2,4,4,2,5,5,5,1,1,10,0.5,700,600,0,3,7.5,3,3,3,22.5833,1,52,2,5,3,2,2,5,5,4,5,5,4,5,2
"259",1,24,7,2,4,2,4,4,4,5,1,2,25,10,850,0,850,4,0,2,4,4,23.0833,2,86,2,5,5,4,4,4,4,2,4,3,5,5,3
"260",1,3,3,1,4,2,4,4,4,5,1,5,30,21,1000,950,0,3,0,5,5,5,28.4999666666668,1,88,4,2,3,3,3,5,4,2,4,2,3,6,2
"261",1,19,5,2,4,4,2,1,4,4,1,1,20,1.7,190,110,262,3,17,3,3,3,21.9999666666668,1,86,1,2,2,2,3,2,2,4,5,3,5,6,3
"262",1,24,2,2,4,4,4,5,5,4,1,5,25,4,800,200,600,2,0,5,3,3,24.0833,1,70,4,5,4,2,1,5,3,4,5,3,3,5,3
"263",1,24,3,1,5,5,5,5,5,5,2,3,37,21,380,620,0,5,0,4,4,4,46.3333,2,86,1,4,4,4,4,4,3,1,5,4,5,8,6
"264",1,3,4,2,4,2,4,2,1,4,2,5,60,12.1,250,0,210,4,0,2,5,5,22.5833,2,86,1,4,4,4,3,2,5,1,4,3,1,5,3
"265",1,23,4,2,5,5,5,5,5,5,2,5,30,5,200,200,140,3,0,3,5,5,29.2499666666668,1,86,1,2,2,2,5,2,5,2,5,5,1,4,3
"266",1,24,7,1,4,4,4,5,5,5,1,1,40,3.2,2700,2242,0,2,0,1,1,1,26.8333,1,156,4,5,3,5,3,5,4,4,4,6,2,1,7
"267",1,24,3,2,4,4,4,4,4,4,2,3,50,20,900,2570,0,5,0,5,5,5,36.4999666666668,2,86,1,2,2,2,2,2,4,2,4,6,2,10,6
"268",1,25,7,1,5,5,2,5,5,5,2,3,15,4,20,610,0,5,35,5,1,1,36.2499666666668,2,86,1,2,2,1,1,2,5,1,5,5,6,5,2
"269",1,24,10,2,5,4,4,4,5,5,1,5,15,6.4,650,621.5,600,3,0,3,3,3,26.1666333333333,2,134,5,5,4,5,4,4,4,4,5,3,2,5,3
"270",1,18,2,2,2,2,4,1,3,4,1,1,20,3,150,0,455,4,10,3,3,3,22.2499666666668,2,86,1,3,3,2,1,3,4,3,2,6,4,4,3
"271",1,9,4,1,3,2,2,2,3,4,1,3,8,2,1500,1660,0,3,39,3,3,3,49.7499666666668,2,86,1,5,4,3,3,4,4,3,4,5,4,5,4
"272",2,24,2,1,3,2,4,4,3,5,1,3,15,3,1340,2906,0,4,26,4,3,3,37.9166333333333,1,86,1,2,2,1,1,1,4,2,4,3,5,6,3
"273",1,26,4,1,3,2,2,3,3,4,1,3,0.2,3.2,85,1195,0,5,0,3,3,3,43.5833,1,134,2,4,4,2,3,3,1,3,3,6,6,9,6
"274",1,24,2,1,5,5,4,5,5,4,1,5,20,1.5,500,0,1250,4,0,5,3,3,29.7499666666668,1,82,4,4,4,4,4,4,4,2,5,4,2,5,7
"275",1,2,2,1,4,4,3,3,4,4,1,3,20,5,400,0,515,4,1,3,2,2,38.8333,1,86,1,4,2,2,2,5,2,1,4,3,4,5,2
"276",1,24,3,2,5,5,4,4,5,5,2,5,55,19,260,20,1021,3,0,3,3,3,23.3333,2,86,1,5,5,5,5,5,5,3,5,4,2,6,7
"277",1,1,4,2,3,3,3,2,4,2,2,3,15,5,280,280,0,4,8,4,1,1,23.1666333333333,1,86,1,3,2,3,1,4,5,4,4,5,6,5,5
"278",1,18,2,1,4,5,4,3,4,4,1,1,12,1.6,660,590,0,4,2,3,4,4,27.5833,1,86,1,4,4,4,2,5,5,2,5,2,5,5,7
"279",1,24,4,1,4,4,4,4,4,4,1,5,5,1.6,400,710,0,5,0,3,3,3,28.2499666666668,1,190,4,5,4,5,4,5,3,2,4,4,3,5,1
"280",1,25,10,2,4,4,3,3,4,2,1,3,15,15,0,870,0,4,0,3,3,3,28.7499666666668,1,86,1,3,1,2,2,5,5,1,4,5,6,5,4
"281",2,26,1,1,4,3,3,4,5,4,2,3,45,20,930,200,0,4,0,3,3,3,55.5833,1,86,1,3,2,4,2,4,3,2,4,2,3,6,5
"282",2,3,8,2,3,4,4,5,3,4,1,3,30,30,3000,1264,0,1,43,5,5,5,30.4166333333333,2,86,1,5,5,3,4,5,5,5,4,4,7,5,5
"283",1,24,3,2,4,4,1,4,4,4,2,3,15,16,60,70,350,5,0,3,3,3,21.6666333333333,1,189,1,5,4,4,2,5,5,1,2,5,3,6,6
"284",1,24,11,2,4,3,4,2,5,5,1,5,10,2,520,400,660,3,8,3,4,4,21.7499666666668,2,86,1,5,5,3,3,4,4,3,4,2,4,6,4
"285",1,4,13,1,4,4,3,3,5,4,2,5,150,140,600,2245,0,4,35,3,3,3,33.9166333333333,2,86,1,5,5,3,2,3,5,3,4,6,5,8,6
"286",1,24,6,2,5,4,4,4,4,3,1,5,30,5,600,410,400,5,0,3,4,4,23.4999666666668,1,86,1,2,2,2,1,2,4,1,4,4,5,3,2
"287",2,22,1,1,4,5,4,4,5,5,1,5,30,4,2300,1455,0,1,40,3,3,3,32.9166333333333,1,86,1,5,5,5,4,6,5,5,5,2,2,4,4
"288",1,26,4,2,4,4,2,4,4,2,2,3,20,15,89,480,105,4,12,4,5,5,23.0833,1,86,2,5,4,4,3,4,5,2,3,3,4,5,7
"289",1,17,1,1,4,4,4,5,5,2,2,5,100,81.5,1078,930,160,5,7,3,4,4,32.0833,1,86,1,5,3,4,2,5,4,1,4,4,6,2,4
"290",1,24,8,2,3,3,4,3,2,3,2,5,100,30,1750,225,125,3,42,4,4,4,21.6666333333333,2,86,1,2,2,2,4,3,3,4,4,3,3,4,2
"291",1,24,6,2,4,4,2,2,2,1,2,5,90,25,800,570,300,4,20,5,1,1,23.2499666666668,1,86,1,3,1,3,1,2,1,2,4,3,5,6,4
"292",1,23,3,1,4,1,1,3,5,5,1,3,35,20,2000,1920,0,4,0,2,3,3,36.4999666666668,1,86,1,2,5,3,5,2,4,4,2,4,3,3,7
"293",1,2,7,1,5,3,5,5,5,4,1,1,5,0.5,650,650,0,3,0,3,3,3,24.4166333333333,2,51,4,5,4,5,2,5,5,4,5,3,3,4,4
"294",1,19,6,2,4,2,4,4,4,4,2,3,8,1.9,312,85,250,3,6,5,2,2,23.5833,1,86,2,2,3,3,2,2,5,4,5,6,6,6,7
"295",1,3,4,2,4,4,3,3,5,2,1,1,15,0.5,350,350,130,4,0,3,5,5,21.9999666666668,1,86,1,2,2,4,3,4,2,2,5,4,3,5,4
"296",1,24,4,2,4,4,2,5,4,3,2,5,90,20,0,200,0,5,0,3,3,3,24.7499666666668,2,86,1,2,2,5,2,3,5,1,4,4,1,6,4
"297",2,4,8,1,4,4,4,4,5,5,2,5,35,4,60,0,720,1,0,3,3,3,40.9166333333333,1,88,3,5,4,4,4,6,5,4,4,5,5,6,4
"298",1,24,4,1,3,2,1,3,3,3,1,3,20,3.5,80,0,540,5,10,5,5,5,29.9999666666668,2,86,1,1,1,1,1,1,1,1,2,3,5,5,7
"299",1,22,3,1,5,5,5,5,5,5,1,3,20,2,80,520,0,4,16,5,5,5,31.3333,1,86,1,4,4,4,4,4,4,2,4,3,4,5,3
"300",2,24,2,2,4,5,4,4,5,4,1,1,35,4,350,150,840,2,0,3,3,3,22.1666333333333,1,86,1,5,5,5,5,5,5,5,5,3,2,5,2
"301",1,24,1,1,2,2,3,4,5,2,2,3,53,78.3,791,2069,530,4,7,2,4,4,27.4999666666668,1,86,1,3,2,3,2,4,5,1,1,3,5,6,2
"302",1,24,3,2,4,4,3,2,5,4,1,1,15,1.5,960,950,0,3,18,3,4,4,23.4166333333333,1,86,1,4,4,2,4,2,5,3,4,3,6,6,4
"303",2,22,10,1,5,4,4,5,5,5,1,3,60,52,2200,1368,0,3,37.5,5,3,3,26.7499666666668,1,86,1,2,2,2,1,2,5,4,4,4,3,5,3
"304",1,3,2,2,4,4,1,5,4,3,1,5,30,10,1180,1060,0,2,0,3,3,3,23.4999666666668,1,70,4,4,3,2,2,2,5,4,1,6,6,6,5
